Listing_id,negative,positive,Total,Positive Ratio,Negative Ratio
19326768,6,126,132,0.95,0.05
19340532,1,16,17,0.94,0.06
19381523,9,170,179,0.95,0.05
19387344,70,880,950,0.93,0.07
19388286,5,20,25,0.80,0.20
19406211,53,465,518,0.90,0.10
19409581,26,483,509,0.95,0.05
19412393,25,448,473,0.95,0.05
19415618,11,191,202,0.95,0.05
19453046,31,332,363,0.91,0.09
19490081,14,315,329,0.96,0.04
19529697,49,300,349,0.86,0.14
19531546,16,213,229,0.93,0.07
19548415,35,558,593,0.94,0.06
19561946,85,309,394,0.78,0.22
19608022,7,48,55,0.87,0.13
19609285,21,505,526,0.96,0.04
19610809,,46,46,1.00,0.00
19622621,20,278,298,0.93,0.07
19625971,3,51,54,0.94,0.06
19643402,31,370,401,0.92,0.08
19688771,23,569,592,0.96,0.04
19700502,12,289,301,0.96,0.04
19701203,,8,8,1.00,0.00
19716355,10,215,225,0.96,0.04
19719866,17,368,385,0.96,0.04
19733975,11,96,107,0.90,0.10
19742574,48,890,938,0.95,0.05
19744619,39,325,364,0.89,0.11
19761806,15,360,375,0.96,0.04
19785945,15,329,344,0.96,0.04
19787532,17,316,333,0.95,0.05
19790687,5,128,133,0.96,0.04
19809125,62,616,678,0.91,0.09
19811549,31,288,319,0.90,0.10
19824923,18,381,399,0.95,0.05
19844151,1,7,8,0.88,0.13
19858349,8,326,334,0.98,0.02
19864005,3,17,20,0.85,0.15
19870831,24,501,525,0.95,0.05
19874293,2,174,176,0.99,0.01
19912932,61,378,439,0.86,0.14
19921886,16,280,296,0.95,0.05
19952563,3,40,43,0.93,0.07
19959386,23,605,628,0.96,0.04
19965982,4,118,122,0.97,0.03
19970767,33,656,689,0.95,0.05
19982717,2,78,80,0.98,0.03
19992336,68,715,783,0.91,0.09
20008452,33,408,441,0.93,0.07
20014085,14,82,96,0.85,0.15
20016326,10,315,325,0.97,0.03
20026924,17,208,225,0.92,0.08
20036903,33,490,523,0.94,0.06
20069569,18,314,332,0.95,0.05
20070593,,27,27,1.00,0.00
20074883,19,297,316,0.94,0.06
20076292,,28,28,1.00,0.00
20089787,86,294,380,0.77,0.23
20091731,5,106,111,0.95,0.05
20121078,1,26,27,0.96,0.04
20131746,51,574,625,0.92,0.08
20146236,41,377,418,0.90,0.10
20148706,8,28,36,0.78,0.22
20153545,21,331,352,0.94,0.06
20153704,14,333,347,0.96,0.04
20154151,18,255,273,0.93,0.07
20174263,25,231,256,0.90,0.10
20174635,13,214,227,0.94,0.06
20192369,19,265,284,0.93,0.07
20208429,51,506,557,0.91,0.09
20231794,8,108,116,0.93,0.07
20241154,17,254,271,0.94,0.06
20268605,60,686,746,0.92,0.08
20281303,3,106,109,0.97,0.03
20294011,41,613,654,0.94,0.06
20309680,62,1012,1074,0.94,0.06
20319362,9,214,223,0.96,0.04
20327457,8,89,97,0.92,0.08
20328686,16,545,561,0.97,0.03
20355406,14,277,291,0.95,0.05
20362514,2,47,49,0.96,0.04
20375539,16,314,330,0.95,0.05
20389695,14,190,204,0.93,0.07
20395878,5,134,139,0.96,0.04
20408452,13,362,375,0.97,0.03
20423335,17,129,146,0.88,0.12
20435375,13,176,189,0.93,0.07
20439998,,4,4,1.00,0.00
20441967,11,265,276,0.96,0.04
20447857,29,222,251,0.88,0.12
20454654,35,490,525,0.93,0.07
20456656,31,856,887,0.97,0.03
20462071,25,235,260,0.90,0.10
20465164,1,16,17,0.94,0.06
20473937,9,80,89,0.90,0.10
20479622,,21,21,1.00,0.00
20482319,12,303,315,0.96,0.04
20504787,15,496,511,0.97,0.03
20515199,27,554,581,0.95,0.05
20517072,4,56,60,0.93,0.07
20524980,26,195,221,0.88,0.12
20527549,32,721,753,0.96,0.04
20570236,3,112,115,0.97,0.03
20572681,22,594,616,0.96,0.04
20583406,22,522,544,0.96,0.04
20604517,24,283,307,0.92,0.08
20623672,7,68,75,0.91,0.09
20624327,11,131,142,0.92,0.08
20624404,3,219,222,0.99,0.01
20638444,5,61,66,0.92,0.08
20653416,9,61,70,0.87,0.13
20663042,39,928,967,0.96,0.04
20665144,20,356,376,0.95,0.05
20692815,31,459,490,0.94,0.06
20694871,1,33,34,0.97,0.03
20695367,39,698,737,0.95,0.05
20697183,23,186,209,0.89,0.11
20697346,74,718,792,0.91,0.09
20701115,2,35,37,0.95,0.05
20728814,5,56,61,0.92,0.08
20744040,11,229,240,0.95,0.05
20744323,8,199,207,0.96,0.04
20747532,4,100,104,0.96,0.04
20759062,15,279,294,0.95,0.05
20760789,11,126,137,0.92,0.08
20762155,50,511,561,0.91,0.09
20774579,23,249,272,0.92,0.08
20779200,31,584,615,0.95,0.05
20785720,7,45,52,0.87,0.13
20799054,17,268,285,0.94,0.06
20800180,34,488,522,0.93,0.07
20801691,12,382,394,0.97,0.03
20801888,1,13,14,0.93,0.07
20804217,35,622,657,0.95,0.05
20804347,34,356,390,0.91,0.09
20815440,13,478,491,0.97,0.03
20830901,12,90,102,0.88,0.12
20831859,3,5,8,0.63,0.38
20834615,19,213,232,0.92,0.08
20842462,5,164,169,0.97,0.03
20850669,21,490,511,0.96,0.04
20855873,59,216,275,0.79,0.21
20857612,13,257,270,0.95,0.05
20858987,15,400,415,0.96,0.04
20862982,,6,6,1.00,0.00
20864500,33,66,99,0.67,0.33
20872849,1,20,21,0.95,0.05
20874926,30,625,655,0.95,0.05
20884134,24,303,327,0.93,0.07
20902234,13,251,264,0.95,0.05
20910666,10,205,215,0.95,0.05
20915728,5,23,28,0.82,0.18
20916381,53,449,502,0.89,0.11
20928043,39,400,439,0.91,0.09
20970417,18,487,505,0.96,0.04
20971049,13,236,249,0.95,0.05
20990995,46,730,776,0.94,0.06
20994069,8,184,192,0.96,0.04
20994289,36,456,492,0.93,0.07
21011400,14,321,335,0.96,0.04
21013638,38,446,484,0.92,0.08
21023689,27,379,406,0.93,0.07
21028610,6,63,69,0.91,0.09
21044913,26,241,267,0.90,0.10
21054722,20,318,338,0.94,0.06
21062956,5,91,96,0.95,0.05
21068851,50,872,922,0.95,0.05
21075013,15,260,275,0.95,0.05
21094481,24,281,305,0.92,0.08
21104844,22,312,334,0.93,0.07
21126148,12,416,428,0.97,0.03
